iata          lon      lat
PVE_0330   -71.50    -8.50
PVE_0626   -52.50    -2.50
PVE_0212   -59.50   -11.50
PVE_0464   -79.50    -5.50
PVE_0896   -65.50     6.50
PVE_0808   -73.50     3.50
PVE_0415   -80.50    -6.50
PVE_0478   -65.50    -5.50
PVE_0812   -69.50     3.50
PVE_0287   -69.50    -9.50
PVE_0772   -51.50     1.50
PVE_0881   -54.50     5.50
PVE_0741   -51.50     0.50
PVE_0712   -80.50     0.50
PVE_0936   -73.50     8.50
PVE_0028   -46.50   -16.50
PVE_0131   -59.50   -13.50
PVE_0948   -61.50     8.50
PVE_0249   -64.50   -10.50
PVE_0161   -69.50   -12.50
PVE_0908   -77.50     7.50
PVE_0384   -63.50    -7.50
PVE_0997   -64.50    11.50
PVE_0687   -70.50    -0.50
PVE_0083   -68.50   -14.50
PVE_0404   -43.50    -7.50
PVE_0669   -51.50    -1.50
PVE_0663   -57.50    -1.50
PVE_0232   -39.50   -11.50
PVE_0830   -51.50     3.50
PVE_0333   -68.50    -8.50
PVE_0263   -50.50   -10.50
PVE_0550   -40.50    -4.50
PVE_0940   -69.50     8.50
PVE_0942   -67.50     8.50
PVE_0379   -68.50    -7.50
PVE_0537   -53.50    -4.50
PVE_0824   -57.50     3.50
PVE_0790   -63.50     2.50
PVE_0975   -73.50    10.50
PVE_0311   -45.50    -9.50
PVE_0121   -69.50   -13.50
PVE_0955   -77.50     9.50
PVE_0423   -72.50    -6.50
PVE_0259   -54.50   -10.50
PVE_0038   -74.50   -15.50
PVE_0299   -57.50    -9.50
PVE_0993   -70.50    11.50
PVE_0322   -79.50    -8.50
PVE_0102   -49.50   -14.50
PVE_0953   -79.50     9.50
PVE_0227   -44.50   -11.50
PVE_0242   -71.50   -10.50
PVE_0836   -72.50     4.50
PVE_0033   -41.50   -16.50
PVE_0324   -77.50    -8.50
PVE_0354   -47.50    -8.50
PVE_0630   -48.50    -2.50
PVE_0467   -76.50    -5.50
PVE_0286   -70.50    -9.50
PVE_0775   -78.50     2.50
PVE_0853   -55.50     4.50
PVE_0768   -55.50     1.50
PVE_0135   -55.50   -13.50
PVE_0884   -77.50     6.50
PVE_0440   -55.50    -6.50
PVE_0436   -59.50    -6.50
PVE_0066   -46.50   -15.50
PVE_0147   -43.50   -13.50
PVE_0892   -69.50     6.50
PVE_0236   -77.50   -10.50
PVE_0761   -62.50     1.50
PVE_0893   -68.50     6.50
PVE_0874   -61.50     5.50
PVE_0664   -56.50    -1.50
PVE_0573   -62.50    -3.50
PVE_0720   -72.50     0.50
PVE_0751   -72.50     1.50
PVE_0551   -39.50    -4.50
PVE_0719   -73.50     0.50
PVE_0430   -65.50    -6.50
PVE_0952   -80.50     9.50
PVE_0184   -46.50   -12.50
PVE_0563   -72.50    -3.50
PVE_0300   -56.50    -9.50
PVE_0202   -69.50   -11.50
PVE_0845   -63.50     4.50
PVE_0070   -42.50   -15.50
PVE_0104   -47.50   -14.50
PVE_0848   -60.50     4.50
PVE_0275   -38.50   -10.50
PVE_0047   -65.50   -15.50
PVE_0890   -71.50     6.50
PVE_0855   -53.50     4.50
PVE_0426   -69.50    -6.50
PVE_0020   -54.50   -16.50
PVE_0381   -66.50    -7.50
PVE_0094   -57.50   -14.50
PVE_0390   -57.50    -7.50
PVE_0128   -62.50   -13.50
PVE_0935   -74.50     8.50
PVE_0097   -54.50   -14.50
PVE_0521   -69.50    -4.50
PVE_0633   -45.50    -2.50
PVE_0457   -38.50    -6.50
PVE_0527   -63.50    -4.50
PVE_0269   -44.50   -10.50
PVE_0612   -66.50    -2.50
PVE_0828   -53.50     3.50
PVE_0860   -75.50     5.50
PVE_0157   -73.50   -12.50
PVE_0895   -66.50     6.50
PVE_0170   -60.50   -12.50
PVE_0283   -73.50    -9.50
PVE_0087   -64.50   -14.50
PVE_0555   -80.50    -3.50
PVE_0273   -40.50   -10.50
PVE_0614   -64.50    -2.50
PVE_0781   -72.50     2.50
PVE_0971   -61.50     9.50
PVE_0968   -64.50     9.50
PVE_0841   -67.50     4.50
PVE_0690   -67.50    -0.50
PVE_0556   -79.50    -3.50
PVE_0957   -75.50     9.50
PVE_0349   -52.50    -8.50
PVE_0061   -51.50   -15.50
PVE_0359   -42.50    -8.50
PVE_0433   -62.50    -6.50
PVE_0295   -61.50    -9.50
PVE_0086   -65.50   -14.50
PVE_0006   -68.50   -16.50
PVE_0378   -69.50    -7.50
PVE_0459   -36.50    -6.50
PVE_0652   -68.50    -1.50
PVE_0736   -56.50     0.50
PVE_0950   -59.50     8.50
PVE_0931   -78.50     8.50
PVE_0463   -80.50    -5.50
PVE_0724   -68.50     0.50
PVE_0696   -61.50    -0.50
PVE_0956   -76.50     9.50
PVE_0847   -61.50     4.50
PVE_0779   -74.50     2.50
PVE_0683   -74.50    -0.50
PVE_0216   -55.50   -11.50
PVE_0673   -47.50    -1.50
PVE_0284   -72.50    -9.50
PVE_0219   -52.50   -11.50
PVE_0745   -78.50     1.50
PVE_0861   -74.50     5.50
PVE_0517   -73.50    -4.50
PVE_0023   -51.50   -16.50
PVE_0076   -75.50   -14.50
PVE_0084   -67.50   -14.50
PVE_0417   -78.50    -6.50
PVE_0446   -49.50    -6.50
PVE_0247   -66.50   -10.50
PVE_0016   -58.50   -16.50
PVE_0320   -36.50    -9.50
PVE_0276   -37.50   -10.50
PVE_0834   -74.50     4.50
PVE_0599   -79.50    -2.50
PVE_0972   -60.50     9.50
PVE_0208   -63.50   -11.50
PVE_0442   -53.50    -6.50
PVE_0688   -69.50    -0.50
PVE_0106   -45.50   -14.50
PVE_0501   -42.50    -5.50
